Reserva Proprias,13,Reserva Campinas (P),,Envio Manual,,,Moda
Reserva Proprias,14,Reserva Catarina Fashion Outlet (P),,Envio Manual,,,Moda
Reserva Proprias,15,Reserva Clube Imigrantes (P),,Envio Manual,,,Moda
Reserva Proprias,16,Reserva Contagem (P),,Envio Manual,,,Moda
Reserva Proprias,17,Reserva Diamond (P),,Envio Manual,,,Moda
Reserva Proprias,18,Reserva Downtown (P),,Envio Manual,,,Moda
Reserva Proprias,19,Reserva Eldorado (P),,Envio Manual,,,Moda
Reserva Proprias,20,Reserva Fashion Mall (P),,Envio Manual,,,Moda
Reserva Proprias,21,Reserva Galleria Shopping (P),,Envio Manual,,,Moda
Reserva Proprias,22,Reserva GO - RioSul (P),,Envio Manual,,,Moda
Reserva Proprias,23,Reserva GO - Shopping Leblon (P),,Envio Manual,,,Moda
Reserva Proprias,24,Reserva GO Barra Shopping (P),,Envio Manual,,,Moda
Reserva Proprias,25,Reserva Guarulhos (P),,Envio Manual,,,Moda
Reserva Proprias,26,Reserva Higienópolis (P),,Envio Manual,,,Moda
Reserva Proprias,27,Reserva Ibirapuera (P),,Envio Manual,,,Moda
Reserva Proprias,28,Reserva Icaraí Rua (P),,Envio Manual,,,Moda
Reserva Proprias,29,Reserva Iguatemi DF (P),,Envio Manual,,,Moda
Reserva Proprias,30,Reserva Iguatemi Esplanada Sorocaba  (P),,Envio Manual,,,Moda
Reserva Proprias,31,Reserva Iguatemi POA (P),,Envio Manual,,,Moda
Reserva Proprias,32,Reserva Iguatemi SP (P),,Envio Manual,,,Moda
Reserva Proprias,33,Reserva Ipanema Rua (P),,Envio Manual,,,Moda
Reserva Proprias,34,Reserva Itupeva (P),,Envio Manual,,,Moda
Reserva Proprias,35,Reserva Jardim Sul (P),,Envio Manual,,,Moda
Reserva Proprias,36,Reserva Jardins (Oscar Freire) (P),,Envio Manual,,,Moda
Reserva Proprias,37,Reserva JK (P),,Envio Manual,,,Moda
Reserva Proprias,38,Reserva Jundiaí (P),,Envio Manual,,,Moda
Reserva Proprias,39,Reserva Leblon (P),,Envio Manual,,,Moda
Reserva Proprias,40,Reserva Market Place (P),,Envio Manual,,,Moda
Reserva Proprias,41,Reserva Midway (P),,Envio Manual,,,Moda
Reserva Proprias,42,Reserva Morumbi (P),,Envio Manual,,,Moda
Reserva Proprias,43,Reserva Morumbi Town (P),,Envio Manual,,,Moda
Reserva Proprias,44,Reserva Niterói Plaza (P),,Envio Manual,,,Moda
Reserva Proprias,45,Reserva Norte Shopping (P),,Envio Manual,,,Moda
Reserva Proprias,46,Reserva Nova América (P),,Envio Manual,,,Moda
Reserva Proprias,47,Reserva Outlet Brasilia (P),,Envio Manual,,,Moda
Reserva Proprias,48,Reserva Outlet Premium RJ (P),,Envio Manual,,,Moda
Reserva Proprias,49,Reserva ParkShopping Canoas (P),,Envio Manual,,,Moda
Reserva Proprias,50,Reserva ParkShopping DF (P),,Envio Manual,,,Moda
Reserva Proprias,51,Reserva Patio Batel (P),install 4/7,Envio Manual,,,Moda
Reserva Proprias,52,Reserva Patio Paulista (P),,Envio Manual,,,Moda
Reserva Proprias,53,Reserva Praia de Belas (P),,Envio Manual,,,Moda
Reserva Proprias,54,Reserva RDB (P),,Envio Manual,,,Moda
Reserva Proprias,55,Reserva Recepcao Sede (P),,Envio Manual,,,Moda
Reserva Proprias,56,Reserva Rio Sul (P),,Envio Manual,,,Moda
Reserva Proprias,57,Reserva RioMar Recife (P),,Envio Manual,,,Moda
Reserva Proprias,58,Reserva Salvador Shopping (P),,Envio Manual,,,Moda
Reserva Proprias,59,Reserva Savassi (P),,Envio Manual,,,Moda
Reserva Proprias,60,Reserva Shop Cidade SP (P),,Envio Manual,,,Moda
Reserva Proprias,61,Reserva Shop. Boulevard MG (P),,Envio Manual,,,Moda
Reserva Proprias,62,Reserva Shopping Anália Franco SP (P),,Envio Manual,,,Moda
Reserva Proprias,63,Reserva Shopping Barra Salvador (P),,Envio Manual,,,Moda
Reserva Proprias,64,Reserva Shopping da Bahia (P),,Envio Manual,,,Moda
Reserva Proprias,65,Reserva Shopping da Gávea (P),,Envio Manual,,,Moda
Reserva Proprias,66,Reserva Shopping Mueller  (P),,Envio Manual,,,Moda
Reserva Proprias,67,Reserva Shopping Recife (P),,Envio Manual,,,Moda
Reserva Proprias,68,Reserva Shopping Tijuca (P),,Envio Manual,,,Moda
Reserva Proprias,69,Reserva Simples Morumbi (P),,Envio Manual,,,Moda
Reserva Proprias,70,Reserva Simples Morumbi (P),,Envio Manual,,,Moda
Reserva Proprias,71,Reserva Village Mall (P),,Envio Manual,,,Moda
Reserva Proprias,72,Reserva Park Shopping Barigui,,Envio Manual,,,Moda
Reserva Proprias,73,Reserva Casa Rio Sul (P),,Envio Manual,,,Moda
Reserva Proprias,74,Reserva Clube City Center (P),,Envio Manual,,,Moda
Reserva Proprias,75,Reserva Iguatemi SP (P),,Envio Manual,,,Moda
Reserva Proprias,76,Reserva Outlet Salvador (P),07.900.208/0284-69,Envio Manual,,,Moda
Reserva Proprias,77,Reserva Bourbon Carlos Gomes (P),07.900.208/0269-20,Envio Manual,,,Moda
Schutz,,Schutz LP  (Grupo Arezzo&Co),07.900.208/0009-63,Envio Manual,"R$463,50",13,Moda
Schutz,,Schutz - Franquias (Grupo Arezzo&Co),16.590.234/0010-67,Envio Manual,"R$1.404,00",57,Moda
Vans Franquias,,Vans Store Shopping Américas (F),63.292.149/0001-01,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Jundiaí (F),28.743.420/0001-87,ANATIVO FINANCEIRO,"R$27,00",1,Moda
Vans Franquias,,Vans Store Bauru (F),62.523.156/0001-04,ANATIVO FINANCEIRO,"R$27,00",,Moda
Vans Franquias,,Vans Store Shopping Eldorado (F),30.572.767/0004-07,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Catuai Shopping Londrina (F),40.298.312/0002-29,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Florianópólis (F),40.474.417/0001-00,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Iguatemi Porto Alegre (F),40.298.312/0001-48,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Park Shopping Barigui (F),43.852.739/0001-34,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Parque Shopping Maceió (F),51.380.703/0001-23,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Praiamar Shopping (F),30.572.767/0005-80,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Shopping Bourbon (F),30.572.767/0003-18,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Shopping Campo Grande (F),48.935.666/0001-68,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Shopping Flamboyant (F),43.344.619/0001-26,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Shopping Ibirapuera (F),30.572.767/0002-37,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Shopping Iguatemi Campinas (F),38.265.281/0001-87,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Shopping Iguatemi Fortaleza (F),33.603.139/0001-89,Cobrando,"R$27,00",1,Moda
Vans Franquias,,Vans Store Shopping Morumbi (F),30.572.767/0001-56,Cobrando,"R$27,00",1,Moda
